Year,Rnd,DT,FrRnd,RdPck,Tm,Signed,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of
2016,1,,FrRnd,1,Phillies,Y,Mickey Moniak (minors),OF,,,,,,,,,,,,,HS,La Costa Canyon HS (Carlsbad CA)
2015,1,,FrRnd,1,Diamondbacks,Y,Dansby Swanson (minors)\swansda01,SS,0.9,38,129,3,0.302,0.803,,,,,,,4Yr,Vanderbilt University (Nashville TN)
2014,1,,FrRnd,1,Astros,N,Brady Aiken (minors),LHP,,,,,,,,,,,,,HS,Cathedral Catholic HS (San Diego CA)
2013,1,,FrRnd,1,Astros,Y,Mark Appel (minors),RHP,,,,,,,,,,,,,4Yr,Stanford University (Palo Alto CA)
2012,1,,FrRnd,1,Astros,Y,Carlos Correa (minors)\correca01,SS,10.1,252,964,42,0.276,0.829,,,,,,,HS,Puerto Rico Baseball Academy (Gurabo PR)
2011,1,,FrRnd,1,Pirates,Y,Gerrit Cole (minors)\colege01,RHP,9.4,96,180,2,0.178,0.421,94,47,30,3.23,1.2,0,4Yr,University of California Los Angeles (Los Angeles CA)
2010,1,,FrRnd,1,Nationals,Y,Bryce Harper (minors)\harpebr03,OF,21.5,657,2336,121,0.279,0.883,,,,,,,JC,College of Southern Nevada (Henderson NV)
2009,1,,FrRnd,1,Nationals,Y,Stephen Strasburg (minors)\strasst01,RHP,18.2,156,268,1,0.157,0.405,156,69,41,3.17,1.09,0,4Yr,San Diego State University (San Diego CA)
2008,1,,FrRnd,1,Rays,Y,Tim Beckham (minors)\beckhti01,SS,1.3,151,408,14,0.238,0.72,,,,,,,HS,Griffin HS (Griffin GA)
2007,1,,FrRnd,1,Devil Rays,Y,David Price (minors)\priceda01,LHP,31.9,253,47,0,0.043,0.143,253,121,65,3.21,1.14,0,4Yr,Vanderbilt University (Nashville TN)
2006,1,,FrRnd,1,Royals,Y,Luke Hochevar (minors)\hochelu01,RHP,3.1,280,16,0,0.063,0.125,279,46,65,4.98,1.34,3,,
2005,1,,FrRnd,1,Diamondbacks,Y,Justin Upton (minors)\uptonju01,SS,26.7,1337,4899,221,0.268,0.819,,,,,,,HS,Great Bridge HS (Chesapeake VA)
2004,1,,FrRnd,1,Padres,Y,Matt Bush (minors)\bushma01,SS,2.1,58,0,0,,,58,7,2,2.48,0.94,1,HS,Mission Bay HS (San Diego CA)
2003,1,,FrRnd,1,Devil Rays,Y,Delmon Young (minors)\youngde03,OF,2.5,1118,4108,109,0.283,0.737,,,,,,,HS,Adolfo Camarillo HS (Camarillo CA)
2002,1,,FrRnd,1,Pirates,Y,Bryan Bullington (minors)\bullibr01,RHP,-0.2,26,3,0,0.333,0.667,26,1,9,5.62,1.58,0,4Yr,Ball State University (Muncie IN)
2001,1,,FrRnd,1,Twins,Y,Joe Mauer (minors)\mauerjo01,C,50,1590,5919,130,0.308,0.837,,,,,,,HS,Cretin HS (St. Paul MN)
2000,1,,FrRnd,1,Marlins,Y,Adrian Gonzalez (minors)\gonzaad01,1B,43.8,1804,6739,308,0.29,0.854,,,,,,,HS,Eastlake HS (Chula Vista CA)
1999,1,,FrRnd,1,Devil Rays,Y,Josh Hamilton (minors)\hamiljo03,OF,28.1,1027,3909,200,0.29,0.865,,,,,,,HS,Athens Drive HS (Raleigh NC)
1998,1,,FrRnd,1,Phillies,Y,Pat Burrell (minors)\burrepa01,3B,18.8,1640,5503,292,0.253,0.834,,,,,,,4Yr,University of Miami (Coral Gables FL)
1997,1,,FrRnd,1,Tigers,Y,Matt Anderson (minors)\anderma01,RHP,-0.5,257,0,0,,,257,15,7,5.19,1.58,26,4Yr,Rice University (Houston TX)
1996,1,,FrRnd,1,Pirates,Y,Kris Benson (minors)\bensokr01,RHP,13,208,321,1,0.131,0.337,206,70,75,4.42,1.39,0,4Yr,Clemson University (Clemson SC)
1995,1,,FrRnd,1,Angels,Y,Darin Erstad (minors)\erstada01,OF,32.3,1654,6024,124,0.282,0.743,,,,,,,4Yr,University of Nebraska at Lincoln (Lincoln NE)
1994,1,,FrRnd,1,Mets,Y,Paul Wilson (minors)\wilsopa02,RHP,2.2,171,184,1,0.103,0.271,170,40,58,4.86,1.45,0,4Yr,Florida State University (Tallahassee FL)
1993,1,,FrRnd,1,Mariners,Y,Alex Rodriguez (minors)\rodrial01,SS,117.7,2784,10566,696,0.295,0.93,,,,,,,HS,Westminster Christian (Miami FL)
1992,1,,FrRnd,1,Astros,Y,Phil Nevin (minors)\nevinph01,3B,15.8,1217,4188,208,0.27,0.814,,,,,,,4Yr,California State University Fullerton (Fullerton CA)
1991,1,,FrRnd,1,Yankees,Y,Brien Taylor (minors),LHP,,,,,,,,,,,,,HS,East Carteret HS (Beaufort NC)
1990,1,,FrRnd,1,Braves,Y,Chipper Jones (minors)\jonesch06,SS,85,2499,8984,468,0.303,0.93,,,,,,,HS,The Bolles School (Jacksonville FL)
1989,1,,FrRnd,1,Orioles,Y,Ben McDonald (minors)\mcdonbe01,RHP,20.9,211,1,0,0,0,211,78,70,3.91,1.26,0,4Yr,Louisiana State University (Baton Rouge LA)
1988,1,,FrRnd,1,Padres,Y,Andy Benes (minors)\benesan01,RHP,31.7,405,741,8,0.143,0.39,403,155,139,3.97,1.31,1,4Yr,University of Evansville (Evansville IN)
1987,1,,FrRnd,1,Mariners,Y,Ken Griffey (minors)\griffke02,OF,83.6,2671,9801,630,0.284,0.907,,,,,,,HS,Archbishop Moeller HS (Cincinnati OH)
1986,1,,FrRnd,1,Pirates,Y,Jeff King (minors)\kingje01,SS,16.7,1201,4262,154,0.256,0.749,,,,,,,4Yr,University of Arkansas (Fayetteville AR)
1985,1,,FrRnd,1,Brewers,Y,B.J. Surhoff (minors)\surhob.01,SS,34.3,2313,8258,188,0.282,0.745,,,,,,,4Yr,University of North Carolina at Chapel Hill (Chapel Hill NC)
1984,1,,FrRnd,1,Mets,Y,Shawn Abner (minors)\abnersh01,OF,-1.3,392,840,11,0.227,0.591,,,,,,,HS,Mechanicsburg Area HS (Mechanicsburg PA)
